0,1,2,3,4,5,6,7,8
,Sun Oct 29,Jesters,10,Wanderers,1,,,https://www.dmyha.com/game/show/19292975?subseason=453890
,Sun Nov  5,Wolverines,5,Jesters,5,,,https://www.dmyha.com/game/show/19301041?subseason=453890
,Sun Nov  5,Bandits,0,Wild Goose,6,,,https://www.dmyha.com/game/show/19301043?subseason=453890
,Sun Nov  5,Benders,3,Stampede,1,,,https://www.dmyha.com/game/show/19301046?subseason=453890
,Sun Nov  5,Knights,8,Blues,1,,,https://www.dmyha.com/game/show/19301048?subseason=453890
,Sun Nov  5,Wanderers,5,Vicious Squirrels,3,,,https://www.dmyha.com/game/show/19301065?subseason=453890
,Sun Nov 12,Benders,2,Wolverines,2,,,https://www.dmyha.com/game/show/19301069?subseason=453890
,Sun Nov 12,Wild Goose,4,Blues,1,,,https://www.dmyha.com/game/show/19301072?subseason=453890
,Sun Nov 12,Jesters,4,Vicious Squirrels,2,,,https://www.dmyha.com/game/show/19301074?subseason=453890
,Sun Nov 12,Wanderers,3,Stampede,6,,,https://www.dmyha.com/game/show/19301078?subseason=453890
,Sun Nov 12,Knights,0,Bandits,3,,,https://www.dmyha.com/game/show/19301081?subseason=453890
,Sun Nov 19,Benders,3,Wanderers,4,,,https://www.dmyha.com/game/show/19301085?subseason=453890
Yes,Sun Nov 19,Knights,0,Bandits,0,,,https://www.dmyha.com/game/show/19301088?subseason=453890
Yes,Sun Nov 19,Blues,0,Wild Goose,0,,,https://www.dmyha.com/game/show/19301097?subseason=453890
,Sun Nov 19,Jesters,3,Stampede,4,,,https://www.dmyha.com/game/show/19301101?subseason=453890
,Sun Nov 19,Wolverines,0,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/19301105?subseason=453890
,Sun Dec  3,Jesters,6,Benders,2,,,https://www.dmyha.com/game/show/19301107?subseason=453890
,Sun Dec  3,Knights,3,Wild Goose,3,,,https://www.dmyha.com/game/show/19301109?subseason=453890
,Sun Dec  3,Wanderers,3,Wolverines,9,,,https://www.dmyha.com/game/show/19301110?subseason=453890
,Sun Dec  3,Stampede,2,Vicious Squirrels,0,,,https://www.dmyha.com/game/show/19301114?subseason=453890
,Sun Dec  3,Blues,2,Bandits,4,,,https://www.dmyha.com/game/show/19301116?subseason=453890
,Sun Dec 10,Wild Goose,3,Bandits,2,,,https://www.dmyha.com/game/show/19301117?subseason=453890
,Sun Dec 10,Vicious Squirrels,0,Benders,2,,,https://www.dmyha.com/game/show/19301120?subseason=453890
,Sun Dec 10,Wolverines,2,Stampede,3,,,https://www.dmyha.com/game/show/19301122?subseason=453890
,Sun Dec 10,Blues,3,Knights,2,,,https://www.dmyha.com/game/show/19301124?subseason=453890
,Sun Dec 10,Jesters,5,Wanderers,4,,,https://www.dmyha.com/game/show/19301125?subseason=453890
,Sun Dec 17,Jesters,6,Wolverines,3,,,https://www.dmyha.com/game/show/19301126?subseason=453890
,Sun Dec 17,Wanderers,4,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/19301132?subseason=453890
,Sun Dec 17,Benders,4,Stampede,1,,,https://www.dmyha.com/game/show/19301135?subseason=453890
,Sun Dec 17,Blues,2,Wild Goose,4,,,https://www.dmyha.com/game/show/19301138?subseason=453890
,Sun Dec 17,Bandits,3,Knights,3,,,https://www.dmyha.com/game/show/19301142?subseason=453890
Yes,Sun Jan  7,Bandits,0,Blues,0,,,https://www.dmyha.com/game/show/19301145?subseason=453890
,Sun Jan  7,Wanderers,6,Stampede,4,,,https://www.dmyha.com/game/show/19301148?subseason=453890
,Sun Jan  7,Vicious Squirrels,3,Jesters,1,,,https://www.dmyha.com/game/show/19301152?subseason=453890
Yes,Sun Jan  7,Knights,0,Wild Goose,0,,,https://www.dmyha.com/game/show/19301154?subseason=453890
,Sun Jan  7,Benders,3,Wolverines,9,,,https://www.dmyha.com/game/show/19301158?subseason=453890
,Sun Jan 14,Jesters,2,Stampede,4,,,https://www.dmyha.com/game/show/19301162?subseason=453890
,Sun Jan 14,Bandits,2,Blues,0,,,https://www.dmyha.com/game/show/19301165?subseason=453890
,Sun Jan 14,Benders,1,Wanderers,1,,,https://www.dmyha.com/game/show/19301167?subseason=453890
,Sun Jan 14,Vicious Squirrels,3,Wolverines,2,,,https://www.dmyha.com/game/show/19301170?subseason=453890
,Sun Jan 14,Wild Goose,7,Knights,1,,,https://www.dmyha.com/game/show/19301176?subseason=453890
,Sun Jan 28,Jesters,10,Benders,0,,,https://www.dmyha.com/game/show/19301192?subseason=453890
,Sun Jan 28,Stampede,2,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/19301195?subseason=453890
,Sun Jan 28,Knights,1,Blues,6,,,https://www.dmyha.com/game/show/19301198?subseason=453890
,Sun Jan 28,Wanderers,2,Wolverines,5,,,https://www.dmyha.com/game/show/19301203?subseason=453890
,Sun Jan 28,Bandits,4,Wild Goose,3,,,https://www.dmyha.com/game/show/19301207?subseason=453890
Yes,Sun Feb  4,Wanderers,0,Wolverines,0,,,https://www.dmyha.com/game/show/19301220?subseason=453890
Yes,Sun Feb  4,Benders,0,Jesters,0,,,https://www.dmyha.com/game/show/19301224?subseason=453890
Yes,Sun Feb  4,Blues,0,Bandits,0,,,https://www.dmyha.com/game/show/19301229?subseason=453890
Yes,Sun Feb  4,Wild Goose,0,Knights,0,,,https://www.dmyha.com/game/show/19301237?subseason=453890
Yes,Sun Feb  4,Stampede,0,Vicious Squirrels,0,,,https://www.dmyha.com/game/show/19301246?subseason=453890
,Sun Feb 11,Knights,3,Bandits,7,,,https://www.dmyha.com/game/show/19301263?subseason=453890
,Sun Feb 11,Vicious Squirrels,6,Benders,3,,,https://www.dmyha.com/game/show/19301265?subseason=453890
,Sun Feb 11,Stampede,3,Wolverines,0,,,https://www.dmyha.com/game/show/19301269?subseason=453890
,Sun Feb 11,Jesters,6,Wanderers,6,,,https://www.dmyha.com/game/show/19301273?subseason=453890
,Sun Feb 11,Wild Goose,2,Blues,2,,,https://www.dmyha.com/game/show/19301274?subseason=453890
,Sun Feb 18,Blues,4,Bandits,3,,,https://www.dmyha.com/game/show/19301277?subseason=453890
,Sun Feb 18,Vicious Squirrels,2,Jesters,5,,,https://www.dmyha.com/game/show/19301280?subseason=453890
,Sun Feb 18,Stampede,4,Wanderers,3,,,https://www.dmyha.com/game/show/19301281?subseason=453890
,Sun Feb 18,Knights,1,Wild Goose,7,,,https://www.dmyha.com/game/show/19301288?subseason=453890
,Sun Feb 18,Benders,4,Wolverines,4,,,https://www.dmyha.com/game/show/19301291?subseason=453890
,Sun Feb 25,Vicious Squirrels,3,Wanderers,0,,,https://www.dmyha.com/game/show/19301295?subseason=453890
Yes,Sun Feb 25,Wild Goose,0,Blues,0,,,https://www.dmyha.com/game/show/19301301?subseason=453890
Yes,Sun Feb 25,Bandits,0,Knights,0,,,https://www.dmyha.com/game/show/19301305?subseason=453890
,Sun Feb 25,Jesters,4,Wolverines,1,,,https://www.dmyha.com/game/show/19301307?subseason=453890
,Sun Feb 25,Benders,0,Stampede,3,,,https://www.dmyha.com/game/show/19301310?subseason=453890
,Sun Mar  4,Stampede,3,Jesters,10,,,https://www.dmyha.com/game/show/19301312?subseason=453890
,Sun Mar  4,Wanderers,4,Benders,6,,,https://www.dmyha.com/game/show/19301314?subseason=453890
,Sun Mar  4,Wild Goose,1,Bandits,3,,,https://www.dmyha.com/game/show/19301317?subseason=453890
,Sun Mar  4,Blues,6,Knights,3,,,https://www.dmyha.com/game/show/19301321?subseason=453890
,Sun Mar  4,Wolverines,1,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/19301323?subseason=453890
,Sun Mar 11,Blues,1,Wild Goose,3,,,https://www.dmyha.com/game/show/19301330?subseason=453890
,Sun Mar 11,Stampede,4,Vicious Squirrels,8,,,https://www.dmyha.com/game/show/19301335?subseason=453890
,Sun Mar 11,Jesters,6,Benders,1,,,https://www.dmyha.com/game/show/19301350?subseason=453890
,Sun Mar 11,Wolverines,5,Wanderers,5,,,https://www.dmyha.com/game/show/19301382?subseason=453890
,Sun Mar 11,Knights,1,Bandits,4,,,https://www.dmyha.com/game/show/19301400?subseason=453890
,Sun Mar 18,Wolverines,3,Stampede,4,,,https://www.dmyha.com/game/show/19301433?subseason=453890
,Sun Mar 18,Wanderers,3,Jesters,3,,,https://www.dmyha.com/game/show/19301464?subseason=453890
,Sun Mar 18,Bandits,3,Blues,1,,,https://www.dmyha.com/game/show/19301496?subseason=453890
,Sun Mar 18,Vicious Squirrels,1,Benders,3,,,https://www.dmyha.com/game/show/19301539?subseason=453890
,Sun Mar 18,Wild Goose,5,Knights,2,,,https://www.dmyha.com/game/show/19301542?subseason=453890
,Sun Mar 25,Wanderers,1,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/19301546?subseason=453890
Yes,Sun Mar 25,Bandits,0,Wild Goose,0,,,https://www.dmyha.com/game/show/19301548?subseason=453890
Yes,Sun Mar 25,Blues,0,Knights,0,,,https://www.dmyha.com/game/show/19301553?subseason=453890
,Sun Mar 25,Wolverines,2,Jesters,6,,,https://www.dmyha.com/game/show/19301557?subseason=453890
,Sun Mar 25,Stampede,4,Benders,5,,,https://www.dmyha.com/game/show/19301558?subseason=453890
,Sun Apr  8,Bandits,0,Wild Goose,4,,,https://www.dmyha.com/game/show/19301561?subseason=453890
,Sun Apr  8,Knights,0,Blues,5,,,https://www.dmyha.com/game/show/19301563?subseason=453890
,Sun Apr  8,Vicious Squirrels,5,Wanderers,3,,,https://www.dmyha.com/game/show/19301564?subseason=453890
,Sun Apr  8,Benders,1,Wolverines,9,,,https://www.dmyha.com/game/show/19301567?subseason=453890
,Sun Apr  8,Jesters,2,Stampede,2,,,https://www.dmyha.com/game/show/19301571?subseason=453890
,Sun Apr 15,Vicious Squirrels,5,Jesters,2,,,https://www.dmyha.com/game/show/19301574?subseason=453890
,Sun Apr 15,Wanderers,5,Benders,3,,,https://www.dmyha.com/game/show/19301577?subseason=453890
,Sun Apr 15,Wolverines,3,Stampede,3,,,https://www.dmyha.com/game/show/19301578?subseason=453890
,Sun Apr 15,Bandits,3,Knights,1,,,https://www.dmyha.com/game/show/19301581?subseason=453890
,Sun Apr 15,Wild Goose,3,Blues,4,,,https://www.dmyha.com/game/show/19301583?subseason=453890
,Sun Apr 22,Knights,1,Wild Goose,7,,,https://www.dmyha.com/game/show/19301586?subseason=453890
,Sun Apr 22,Wolverines,7,Benders,3,,,https://www.dmyha.com/game/show/19301588?subseason=453890
,Sun Apr 22,Blues,0,Bandits,4,,,https://www.dmyha.com/game/show/19301591?subseason=453890
,Sun Apr 22,Vicious Squirrels,2,Wanderers,4,,,https://www.dmyha.com/game/show/19301592?subseason=453890
,Sun Apr 22,Stampede,4,Jesters,7,,,https://www.dmyha.com/game/show/19301594?subseason=453890
Yes,Sun Apr 29,Stampede,0,Wolverines,0,,,https://www.dmyha.com/game/show/19301597?subseason=453890
Yes,Sun Apr 29,Blues,0,Bandits,0,,,https://www.dmyha.com/game/show/19301600?subseason=453890
Yes,Sun Apr 29,Wild Goose,0,Knights,0,,,https://www.dmyha.com/game/show/19301605?subseason=453890
Yes,Sun Apr 29,Vicious Squirrels,0,Jesters,0,,,https://www.dmyha.com/game/show/19301609?subseason=453890
Yes,Sun Apr 29,Benders,0,Wanderers,0,,,https://www.dmyha.com/game/show/19301614?subseason=453890
,Sun May  6,Wolverines,0,Jesters,6,,,https://www.dmyha.com/game/show/19301616?subseason=453890
,Sun May  6,Benders,7,Wanderers,3,,,https://www.dmyha.com/game/show/19301619?subseason=453890
,Sun May  6,Blues,6,Knights,3,,,https://www.dmyha.com/game/show/19301624?subseason=453890
,Sun May  6,Wild Goose,2,Bandits,2,,,https://www.dmyha.com/game/show/19301630?subseason=453890
,Sun May  6,Stampede,1,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/19301634?subseason=453890
,Sun May 20,Wanderers,2,Wolverines,3,,,https://www.dmyha.com/game/show/21712171?subseason=453890
,Sun May 20,Knights,2,Bandits,3,,,https://www.dmyha.com/game/show/19301640?subseason=453890
,Sun May 20,Blues,0,Wild Goose,3,,,https://www.dmyha.com/game/show/19301645?subseason=453890
,Sun May 20,Stampede,6,Vicious Squirrels,1,,,https://www.dmyha.com/game/show/21712183?subseason=453890
Yes,Sun May 20,Benders,0,Jesters,0,,,https://www.dmyha.com/game/show/21712189?subseason=453890
,Wed May 30,Wanderers,3,Vicious Squirrels,5,,,https://www.dmyha.com/game/show/21868970?subseason=453890
,Wed May 30,Knights,1,Bandits,2,,,https://www.dmyha.com/game/show/21868972?subseason=453890
,Thu May 31,Blues,4,Wild Goose,6,,,https://www.dmyha.com/game/show/21868974?subseason=453890
,Thu May 31,Wolverines,4,Benders,3,,,https://www.dmyha.com/game/show/21868982?subseason=453890
,Thu May 31,Stampede,2,Jesters,6,,,https://www.dmyha.com/game/show/21868985?subseason=453890
,Sun Jun 10,Wanderers,2,Vicious Squirrels,4,,,https://www.dmyha.com/game/show/21966986?subseason=453890
,Sun Jun 10,Stampede,4,Benders,2,,,https://www.dmyha.com/game/show/21966987?subseason=453890
,Sun Jun 10,Wild Goose,3,Bandits,2,,,https://www.dmyha.com/game/show/21966988?subseason=453890
,Sun Jun 10,Wolverines,2,Jesters,1,,,https://www.dmyha.com/game/show/21966989?subseason=453890
,Sun Jun 10,Knights,1,Blues,5,,,https://www.dmyha.com/game/show/21966991?subseason=453890
